SchoolYear,County_Name,District_BEDS_Code,District_Name,School_BEDS_Code,Location_Name,Public_Immigrant_Student_Cnt
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010016,PINE HILLS ELEMENTARY SCHOOL,20
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010018,DELAWARE COMMUNITY SCHOOL,32
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,15
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010023,ALBANY SCHOOL OF HUMANITIES,5
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010027,EAGLE POINT ELEMENTARY SCHOOL,10
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010028,THOMAS S O'BRIEN ACAD OF SCI & TECH,12
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,29
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,38
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010034,ALBANY HIGH SCHOOL,136
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010039,ARBOR HILL ELEMENTARY SCHOOL,6
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010043,P J SCHUYLER ACHIEVEMENT ACADEMY,27
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010044,SHERIDAN PREP ACADEMY,17
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010045,MYERS MIDDLE SCHOOL,29
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010050,EDMUND J O'NEAL MS OF EXCELLENCE,s
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010051,NORTH ALBANY ACADEMY MIDDLE SCHOOL,12
06/30/2021,ALBANY,010100010000,ALBANY CITY SD,010100010666,PK - ALBANY CITY SD,s
06/30/2021,ALBANY,010100860829,BRIGHTER CHOICE CHARTER SCHOOL-BOYS,010100860829,BRIGHTER CHOICE CHARTER SCHOOL-BOYS,s
06/30/2021,ALBANY,010100860830,BRIGHTER CHOICE CHARTER SCHOOL-GIRLS,010100860830,BRIGHTER CHOICE CHARTER SCHOOL-GIRLS,s
06/30/2021,ALBANY,010100860867,KIPP TECH VALLEY CHARTER SCHOOL,010100860867,KIPP TECH VALLEY CHARTER SCHOOL,s
06/30/2021,ALBANY,010100860960,ALBANY LEADERSHIP CHARTER HS-GIRLS,010100860960,ALBANY LEADERSHIP CHARTER HS-GIRLS,6
06/30/2021,ALBANY,010306060000,BETHLEHEM CSD,010306060003,ELSMERE ELEMENTARY SCHOOL,s
06/30/2021,ALBANY,010306060000,BETHLEHEM CSD,010306060004,GLENMONT ELEMENTARY SCHOOL,s
06/30/2021,ALBANY,010306060000,BETHLEHEM CSD,010306060005,HAMAGRAEL ELEMENTARY SCHOOL,s
06/30/2021,ALBANY,010306060000,BETHLEHEM CSD,010306060006,SLINGERLANDS ELEMENTARY SCHOOL,11
